donor_id,donation_id,campaign_id,donation_date,transaction_fee,payment_method,donation_amount,device_type
46f6ec5b-5323-4ceb-a6db-5b914d9d4c32,c1df643a-4773-447b-bcc2-e4f89c30ca3e,ce85ba81-94a9-4446-90af-9e84134103ad,2022-01-07 03:14:28,0.57,PayPal,105.64,Mobile
a2674172-e01a-467c-b065-687786488e9c,6ac0d090-1a87-4116-93ad-c1b9ee253ddc,1bcc25ba-7e34-4318-b972-d63c3ecc5623,2022-01-09 15:05:07,4.65,Bank Transfer,36.46,Mobile
2d845580-c3c6-4b22-aefe-71e090b3f4f2,a276c19f-b452-4ec1-9f92-902370bdebb9,82c0b061-0523-4690-9e6f-a7e2226fabc4,2022-01-14 06:09:43,1.96,Credit Card,75.16,Desktop
ebc767c9-b852-4ece-b815-35e0634798cc,3ea7893d-4c09-4792-a401-231fb1e8b701,109eb734-cfac-492f-8fa4-7c6f49207cb9,2022-01-16 08:50:37,1.96,PayPal,132.66,Desktop
58abab4a-8182-459a-99ea-97a8b232311c,b8273d17-72ab-4ff0-9685-58b1868e2851,,2022-01-16 12:36:19,3.74,PayPal,105.47,Tablet
1a2c58c1-2e00-484a-b265-79916addaf46,b280c662-269a-42b2-96b6-891ac526fa41,82c0b061-0523-4690-9e6f-a7e2226fabc4,2022-01-21 20:40:13,4.5,Credit Card,145.01,Mobile
9fedd7e6-b2e0-4029-8c26-b9f5be55bef6,124b8587-c5ca-4481-a77f-362604c6e25d,2668553e-eabb-4519-b5cf-55ca9abd5474,2022-01-25 22:31:31,2.34,Bank Transfer,108.78,Mobile
b1627eb2-3cd6-47c5-b442-77730c430e23,4bd8c98c-bb40-40ca-9d01-35781af996af,a23ac978-0434-4dd2-85b7-e356ab430c54,2022-01-26 09:09:10,4.72,PayPal,159.19,Desktop
4225ad24-c273-41a3-949b-9fc5ca46d388,19367f50-5630-4b6d-ae71-ace6ea36f340,4219171b-f6c5-45d4-84d2-b0f2d6af8d1c,2022-01-26 15:13:23,1.13,Credit Card,112.57,Mobile
639fe327-ec48-4594-bcd8-64ecba1b1fd1,d1db4156-6af1-4074-9f01-a1581bc9d037,ae3b4c97-da43-4c44-ad06-c409ada04238,2022-01-27 06:36:17,4.33,Bank Transfer,15.96,Mobile
e53dce26-3520-4119-b38f-b610f75e93c7,daa9feba-fa73-4c31-814f-86e3f552d6fe,ce85ba81-94a9-4446-90af-9e84134103ad,2022-01-29 16:22:37,1.71,PayPal,86.79,Mobile
96cc98d9-9d6a-4e65-ac8a-7ea83022e402,8c12da04-8cd8-48c8-ab07-a428993eca1a,4d38cf8e-122e-4fde-9be6-5943cef97660,2022-01-30 23:17:06,3.34,Credit Card,81.81,Mobile
58164272-1372-4267-b811-0ad11cad9d7b,cca6e3e0-c1f2-48fe-aaf9-cb5513d17515,2668553e-eabb-4519-b5cf-55ca9abd5474,2022-02-02 02:50:35,1.2,PayPal,88.7,Mobile
53a4ca7e-cc75-4b19-ac03-f4d21a2096fd,8f3085ba-6ef5-420f-9f8d-d0600ba00e90,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-02-04 17:29:08,NA,Bank Transfer,41.34,Desktop
39178e60-fb37-4a69-8365-679884704258,e3d85283-30a4-423d-8064-61d550ffa2be,9cd95457-0dc8-4c65-80ea-7b4db9d9df55,2022-02-07 09:04:19,3.28,Credit Card,177.03,Mobile
520e7a86-3c83-401d-9add-696367eb56a1,34f94438-6184-4df7-a7f6-2115d2b603f2,,2022-02-10 07:31:23,2.65,Credit Card,122.86,Tablet
2c29a336-7387-4604-8a66-95ebcbebf2e1,5310c5ec-4127-470f-ac61-ab658a1a17da,2668553e-eabb-4519-b5cf-55ca9abd5474,2022-02-11 02:32:59,1.54,PayPal,43.99,Desktop
58abab4a-8182-459a-99ea-97a8b232311c,9f2da9e0-db26-4966-911e-f4e0f65bf222,4d38cf8e-122e-4fde-9be6-5943cef97660,2022-02-14 09:35:17,2.18,PayPal,142.87,Mobile
15753ceb-04ec-4503-a2b3-adf87861b928,f8e2cde5-cbef-4e66-a972-4302cc568ea9,6823125d-121e-4073-9785-5ea521b717a2,2022-02-17 11:47:59,3.11,Bank Transfer,158.21,Tablet
a794ea1c-21af-4c41-a769-4941a724feef,91a67e4f-7d91-4e61-881a-8ba01726c189,6c29787b-0ef5-4801-bb36-8d5ff50790d5,2022-02-17 21:26:12,1.4,Bank Transfer,181.26,Desktop
28948884-fb0e-4063-afa2-77450b0f5a61,d1092b00-6ac7-43d3-83e9-91f4f3807d17,4219171b-f6c5-45d4-84d2-b0f2d6af8d1c,2022-02-18 05:15:59,0.56,Bank Transfer,131.96,Mobile
